,SiteName,PrimaryUse,Borough,AreaHa,Easting,Northing
884,The Walrus and the Carpenter (Lower Thames Street),Civic/market square,City of London,0.0186,533045.0,180684.0
885,Threadneedle Street - Royal Court (Royal Court/ Royal Exchange - paved open space),Civic/market square,City of London,0.127,532874.0,181161.0
886,Tower Hill Gardens - eastside (Tower Hill),Park,City of London; Tower Hamlets,0.2207,533641.0,180761.0
887,Undershaft - St.Helen Bishopsgate - Open Space,Civic/market square,City of London,0.0294,533193.0,181261.0
888,Apothecary St civic/market square,Civic/market square,City of London,0.0179,531706.0,181049.0
889,Walbrook,Civic/market square,City of London,0.0716,532605.0,181006.0
890,Wardrobe Place (St. Andrew's Hill),Civic/market square,City of London,0.037,531882.0,181029.0
891,Watling Street junction with Queen Victoria Street,Civic/market square,City of London,0.0192,532417.0,181046.0
892,White Kennett Street,Civic/market square,City of London,0.0396,533538.0,181356.0
893,Whittington Garden,Park,City of London,0.088,532491.0,180835.0
894,Cursitor Street,Civic/market square,City of London,0.0221,531115.0,181409.0
895,1 New Street Square,Civic/market square,City of London,0.0097,531438.0,181382.0
896,Seating at Holborn Circus,Civic/market square,City of London,0.0194,531416.0,181538.0
897,St Dunstan In-The-West Burial Ground,Cemetery/churchyard,City of London,0.0147,531235.0,181172.0
898,"Open Space at Leadenhall Building, Leadenhall St",Other hard surfaced areas,City of London,0.2209,533165.0,181166.0
899,Site of Old Lloyds Building,Other hard surfaced areas,City of London,0.278,533236.0,181067.0
900,Open space on site of Royex House,Other hard surfaced areas,City of London,0.035,532389.0,181503.0
901,Open space on the site of 10-12 Copthall Avenue,Other hard surfaced areas,City of London,0.041,532797.0,181420.0
902,20 Fenchurch Street Pocket Park,Park,City of London,0.0656,533083.0,180862.0
903,Addington Boundary Woods,Public woodland,Croydon,1.4673,539361.0,161795.0
904,Addington Hills,Amenity green space,Croydon,53.1586,535262.0,164424.0
905,Addington Park,Park,Croydon,10.8626,536769.0,163712.0
906,Addiscombe Recreation Ground,Recreation ground,Croydon,3.207,534373.0,166051.0
907,All Saints' with St. Margarets Church,Cemetery/churchyard,Croydon,0.4728,533151.0,169736.0
908,Amenity land at Shirley Oaks Village,Amenity green space,Croydon,12.8274,535787.0,166195.0
909,Ansley Berry Shaw/Ragged Grove/Mitchley Wood,Nature reserve,Croydon,36.8317,533932.0,160374.0
910,Ashburton Park,Park,Croydon,7.5902,534706.0,166926.0
911,Ashburton Playing Fields / Stroud Green Amenity Area,Playing fields,Croydon,20.1244,535456.0,166902.0
912,Aspley Road Playground,Play space,Croydon,0.1091,534545.0,168112.0
913,Beaulieu Heights,Public woodland,Croydon,7.0167,533351.0,169566.0
914,Betts Mead Recreation Ground,Nature reserve,Croydon,12.1268,532165.0,158422.0
915,Betts Mead Surrounds,Public woodland,Croydon,12.4348,531784.0,158836.0
916,Beulah Hill Pond,Park,Croydon,0.2541,531794.0,170638.0
917,Biggin Wood,Public woodland,Croydon,5.1935,531701.0,170202.0
918,Birchwood & Castle Hill Ruffs,Public woodland,Croydon,13.5672,538477.0,163850.0
919,Boulogne Road Play Area,Play space,Croydon,0.5792,532485.0,167252.0
920,Bourne Park (Croydon),Park,Croydon,2.9831,533272.0,159516.0
921,Bradmore Green,Village green,Croydon,1.5793,530930.0,158259.0
922,Bramley Bank,Nature reserve,Croydon,10.4587,535283.0,163480.0
923,Brickfields Meadow,Nature reserve,Croydon,4.7063,534176.0,167452.0
924,Canterbury Road Recreation Ground,Recreation ground,Croydon,1.8203,531113.0,166746.0
925,Central Parade,Village green,Croydon,0.5229,538348.0,162123.0
926,"Comport Green, New Addington",Amenity green space,Croydon,0.3327,539117.0,161405.0
927,Coombe Wood,Public woodland,Croydon,5.6272,534564.0,164253.0
928,Coulsdon Memorial Ground,Recreation ground,Croydon,4.0106,530120.0,158984.0
929,Coulsdon Common,Common,Croydon,59.2027,532195.0,157095.0
930,Coulsdon Coppice,Public woodland,Croydon,3.3393,530704.0,158972.0
931,Coulsdon Court Wood (Coulsdon Court Golf Course),Public woodland,Croydon,17.92,531963.0,158173.0
932,Courtwood Playground,Play space,Croydon,0.7303,536649.0,162493.0
933,Croham Hurst,Public woodland,Croydon,41.8004,533861.0,163156.0
934,Denning Avenue Circus with Leyton Crescent,Amenity green space,Croydon,1.0559,531537.0,164329.0
935,Dollypers Hill,Nature reserve,Croydon,14.8851,531594.0,158579.0
936,Duppas Hill recreation Ground,Recreation ground,Croydon,13.412,531606.0,164755.0
937,Edgecoombe Playground,Play space,Croydon,0.5746,535511.0,162886.0
938,Ellis Road Playground,Play space,Croydon,1.7688,530753.0,157134.0
939,Fairfield Gardens / College Green,Formal garden,Croydon,1.0067,532684.0,165488.0
940,Falconwood Meadow,Nature reserve,Croydon,1.7296,537083.0,162873.0
941,Farthing Downs,Nature reserve,Croydon,50.7944,529994.0,157922.0
942,Foxes Wood,Public woodland,Croydon,3.2839,536458.0,165103.0
943,"Foxley Wood and Sherwood Oaks, Kenley",Public woodland,Croydon,11.7203,531565.0,160496.0
944,Grange Park,Recreation ground,Croydon,4.2351,531097.0,158268.0
945,Grangewood Park,Park,Croydon,11.22,532952.0,168851.0
946,Green Lane Sports Ground,Recreation ground,Croydon,1.6648,531782.0,169090.0
947,Gushybank Shaw,Public woodland,Croydon,0.4956,538825.0,161299.0
948,Haling Grove Park,Park,Croydon,4.7395,532107.0,163220.0
949,Happy Valley and Devislden Wood,Nature reserve,Croydon,101.2129,530999.0,156803.0
950,Hawkhirst,Nature reserve,Croydon,14.2897,533047.0,159134.0
951,Hayes Lane Woodland,Public woodland,Croydon,0.4979,532250.0,158608.0
952,Heathfield,Park,Croydon,9.8202,535391.0,163776.0
953,Heavers Meadow,Nature reserve,Croydon,3.3587,533451.0,167644.0
954,Higher Drive Recreation Ground,Recreation ground,Croydon,4.1541,531588.0,160168.0
955,Houlder Crescent,Amenity green space,Croydon,0.2403,531594.0,163979.0
956,Hutchinsons Bank,Nature reserve,Croydon,22.0575,538216.0,161612.0
957,John Ruskin Playing Fields,Playing fields,Croydon,5.2296,534751.0,164705.0
958,Kenley Common,Common,Croydon,42.3088,533027.0,158459.0
959,Kenley Common Cove,Nature reserve,Croydon,17.686,532786.0,159114.0
960,Kennington Avenue/Norbury Brook and Green,Amenity green space,Croydon,0.3473,531174.0,169504.0
961,King George's Field,Park,Croydon,1.1267,532990.0,167082.0
962,King's Wood,Public woodland,Croydon,59.7355,535170.0,160378.0
963,Lacy Green,Village green,Croydon,0.4344,531113.0,157371.0
964,Land adjacent Mitchley Hill,Amenity green space,Croydon,2.2072,533623.0,160733.0
965,Land adjacent to 149 Wingate Crescent,Amenity green space,Croydon,0.4641,530176.0,167589.0
966,"Land at Chaucer Green, Ashburton",Amenity green space,Croydon,0.414,535160.0,166767.0
967,Land at Copse View,Amenity green space,Croydon,0.3085,536032.0,163004.0
968,"Land at Greenview Avenue, Monks Orchard.",Amenity green space,Croydon,0.3552,536223.0,167274.0
969,"Land at Norbury Close, Norbury",Amenity green space,Croydon,0.329,531528.0,169964.0
970,"Land at Shirley Avenue, Shirley",Amenity green space,Croydon,0.2587,535577.0,165877.0
971,"Land between Farnborough Ave, Broadcoombe and Heathfield Vale, S Croydon",Amenity green space,Croydon,0.4016,535916.0,162921.0
972,"Land fronting 327 - 373 King Henry's Drive, New Addington",Amenity green space,Croydon,0.4229,539277.0,161799.0
973,"Land fronting 61-91 North Downs Road, New Addington",Amenity green space,Croydon,0.3666,538070.0,162253.0
974,"Land fronting 89-119 King Henry's Drive, New Addington",Amenity green space,Croydon,0.3256,538368.0,162947.0
975,Land North of Happy Valley (East),Amenity green space,Croydon,0.1483,531081.0,157119.0
976,Land North of Happy Valley (West),Amenity green space,Croydon,0.1498,530996.0,157111.0
977,Land r/o 42-100 Addington Village Road,Amenity green space,Croydon,0.7429,537246.0,163972.0
978,Land Rear of Hilliars Heath Road,Amenity green space,Croydon,0.2725,530183.0,159625.0
979,Littleheath Woods,Public woodland,Croydon,26.1314,535167.0,162906.0
980,Lloyd Park and Coombe Farm,Park,Croydon,25.2794,534403.0,165032.0
981,Lloyd Park Recreation Ground,Recreation ground,Croydon,22.0666,533975.0,164650.0
982,Long Lane Woods,Park,Croydon,5.1341,535550.0,167512.0
983,Longwood Pasture,Nature reserve,Croydon,3.7959,532828.0,159434.0
984,Lower Ruff Field,Amenity green space,Croydon,3.0785,538879.0,163342.0
985,Mayfield Road Playground,Play space,Croydon,0.8813,530558.0,168109.0
986,Millers Pond,Park,Croydon,1.4886,536891.0,165625.0
987,Milne Park,Park,Croydon,7.7804,538793.0,161664.0
988,Nettlefold Field,Amenity green space,Croydon,0.8756,531455.0,170570.0
989,Addington Vale,Park,Croydon,10.4126,538684.0,162395.0
990,New Hill,Public woodland,Croydon,28.6613,530494.0,157747.0
991,Norbury Hall,Park,Croydon,3.1071,530968.0,169266.0
992,Norbury Park,Park,Croydon,11.3178,530949.0,169917.0
993,Normanton Meadow,Amenity green space,Croydon,0.3613,533221.0,163973.0
994,North Down Recreation Ground,Recreation ground,Croydon,11.901,537747.0,162580.0
995,Northbrook Road Playground,Play space,Croydon,0.2714,532659.0,167780.0
996,Norwood Grove,Park,Croydon,9.0743,531192.0,170551.0
997,Oaks Road Parkland,Public woodland,Croydon,3.8647,534787.0,164583.0
998,Old Lodge Sports Ground,Playing fields,Croydon,0.9677,530883.0,160638.0
999,Pampisford Road Rough Habitat,Amenity green space,Croydon,0.6366,531671.0,162913.0
1000,Park Hill Recreation Ground,Park,Croydon,8.0355,532929.0,165069.0
1001,Parkfields Park,Park,Croydon,4.6836,536549.0,166242.0
1002,Parsens Pightle (Happy Valley),Playing fields,Croydon,5.0715,531263.0,157162.0
1003,Pinewoods,Public woodland,Croydon,4.1989,535979.0,165021.0
1004,Pollards Hill,Park,Croydon,3.1809,530320.0,168779.0
1005,Public Open Space West of Franklin Way,Amenity green space,Croydon,0.4031,530372.0,166571.0
1006,Purley Beeches,Public woodland,Croydon,7.598,532973.0,161992.0
1007,Purley Way Playing Fields,Playing fields,Croydon,39.853,531575.0,163345.0
1008,Purley Way Sports Ground,Recreation ground,Croydon,4.0753,531524.0,162570.0
1009,Purley Way West,Amenity green space,Croydon,15.3787,531251.0,162892.0
1010,Queenhill Road Playspace,Play space,Croydon,0.9325,534641.0,162562.0
1011,Rickman Hill Recreation Ground,Recreation ground,Croydon,6.8365,528594.0,158616.0
1012,Riddlesdown and Surrounds,Common,Croydon,60.4397,533053.0,160052.0
1013,Rotary Field,Park,Croydon,1.7187,531577.0,162041.0
1014,Rowdown Fields,Recreation ground,Croydon,33.2569,537681.0,164081.0
1015,Rowdown Wood,Public woodland,Croydon,13.6245,539001.0,162952.0
1016,Ryelands Field,Playing fields,Croydon,2.1474,535174.0,167722.0
1017,Sanderstead Plantation,Public woodland,Croydon,9.1381,534398.0,161917.0
1018,Sanderstead Pond,Park,Croydon,1.3052,534088.0,161362.0
1019,Sanderstead Recreation Ground,Recreation ground,Croydon,7.6763,533942.0,161020.0
1020,Sanderstead to Whyteleafe Countryside Area,Nature reserve,Croydon,37.4268,534004.0,159928.0
1021,Selsdon Recreation Ground,Recreation ground,Croydon,4.0239,535555.0,162097.0
1022,Selsdon Wood / Foxshaw / Courtwood,Public woodland,Croydon,83.9439,536256.0,161715.0
1023,Shirley Church Recreation Ground,Recreation ground,Croydon,3.2983,536033.0,165355.0
1024,Shirley Heath (Spring Wood),Nature reserve,Croydon,27.8166,537237.0,164812.0
1025,South Croydon Recreation Ground,Recreation ground,Croydon,3.1729,532576.0,162881.0
1026,South Norwood Country Park,Country park,Croydon,52.6115,535273.0,168235.0
1027,South Norwood Lake and Grounds,Park,Croydon,12.2508,533937.0,169405.0
1028,South Norwood Lake Playing Field,Playing fields,Croydon,8.4604,533815.0,169465.0
1029,South Norwood Recreation Ground,Recreation ground,Croydon,5.8113,533791.0,168007.0
1030,Spring Park Wood,Public woodland,Croydon,3.2447,537359.0,165590.0
1031,St. John's Memorial Garden,Cemetery/churchyard,Croydon,0.4278,531917.0,165397.0
1032,Stoats Nest Green,Amenity green space,Croydon,0.7325,530356.0,159798.0
1033,Stoneyfield Shaw,Public woodland,Croydon,0.9817,530576.0,158973.0
1034,Strambourne Woodland Walk,Public woodland,Croydon,1.577,533636.0,170091.0
1035,Stroud Green Well,Amenity green space,Croydon,1.9607,535146.0,166219.0
1036,Temple Avenue Copse,Public woodland,Croydon,0.5331,536709.0,165316.0
1037,The Avenue,Nature reserve,Croydon,2.2001,532745.0,158873.0
1038,"The Green, Featherbed Lane",Amenity green space,Croydon,0.762,536858.0,162870.0
1039,The Lawns (Croydon),Park,Croydon,6.0115,532851.0,169785.0
1040,The Queen's Garden,Formal garden,Croydon,0.8891,532507.0,165367.0
1041,The Ruffet,Public woodland,Croydon,1.2375,534977.0,163291.0
1042,Thornton Heath Recreation Ground,Recreation ground,Croydon,5.4802,531702.0,168668.0
1043,Threecorner Grove,Public woodland,Croydon,1.585,538493.0,161148.0
1044,Threehalfpenny Wood & Long Meadow,Public woodland,Croydon,16.9555,537634.0,164513.0
1045,Tollers Playing Field,Playing fields,Croydon,2.8021,530851.0,157422.0
1046,Trumble Garden Park,Formal garden,Croydon,0.9064,531985.0,168094.0
1047,Upper Norwood Recreation Ground,Recreation ground,Croydon,7.823,532760.0,170430.0
1048,Valley Park Children's Playground,Play space,Croydon,0.5471,530453.0,166531.0
1049,Waddon Ponds,Park,Croydon,3.0957,530932.0,165118.0
1050,Walton Green,Play space,Croydon,0.8627,538106.0,163033.0
1051,Wandle Park (Croydon),Park,Croydon,8.5953,531537.0,165633.0
1052,Westow Park,Park,Croydon,2.6301,533282.0,170355.0
1053,Wettern Tree Garden,Formal garden,Croydon,1.152,532884.0,162240.0
1054,Whitehorse Meadow,Nature reserve,Croydon,3.9296,533047.0,168503.0
1055,Whitehorse Road Recreation Ground,Recreation ground,Croydon,1.8534,532564.0,167355.0
1056,Wilford Road Playground,Play space,Croydon,1.2805,532314.0,167044.0
1057,Wood East of Haydn Avenue / Roffey Close,Recreation ground,Croydon,6.1148,531605.0,159568.0
1058,Woodcote Grove Recreation Ground,Recreation ground,Croydon,3.9877,529406.0,160462.0
1059,Woodcote Village Green,Amenity green space,Croydon,1.403,529846.0,161143.0
1060,Woodland Rear of the Glades,Public woodland,Croydon,0.7246,531638.0,157991.0
1061,Woodside Green,Amenity green space,Croydon,1.7977,534511.0,167270.0
1062,Acton Green Common,Common,Ealing,4.4828,520779.0,178824.0
1063,Acton Park,Park,Ealing,9.7854,520870.0,180207.0
1064,Alexandra Rest Gardens,Cemetery/churchyard,Ealing,0.0532,520226.0,179560.0
1065,Barons Pond,Nature reserve,Ealing,0.2342,518932.0,179418.0
1066,Beaconsfield Road Open Space,Park,Ealing,0.2629,520618.0,179025.0
1067,Billets Hart Close Park/Green Lane Wharf and St. Margaret's Road Open Space,Park,Ealing,0.7624,515134.0,179580.0
1068,Birkdale Court Open Space,Recreation ground,Ealing,0.3463,514136.0,181025.0
1069,Bittern's & May Fields (Brent Lodge Park),Nature reserve,Ealing,9.1641,514671.0,181748.0
1070,Bixley Fields,Recreation ground,Ealing,1.117,512948.0,178995.0
1071,Blondin Park,Nature reserve,Ealing,8.5514,516861.0,178808.0
1072,Bollo Bridge Rest Garden,Amenity green space,Ealing,0.1693,520038.0,179467.0
1073,Bollo Brook Open Space,Amenity green space,Ealing,0.572,519935.0,179516.0
1074,Bramley Road Open Space,Formal garden,Ealing,0.527,517170.0,179133.0
1075,Brent Lodge Park Zoo,Other,Ealing,1.1351,514749.0,180551.0
1076,Brent Meadow (Brent Lodge Park),Nature reserve,Ealing,3.2086,515009.0,180272.0
1077,Brentham Green Open Space,Formal garden,Ealing,0.0264,517361.0,182416.0
1078,Brentham Meadows,Nature reserve,Ealing,3.9052,517550.0,182635.0
1079,Brentham River Side (North),Walking/cycling route,Ealing,0.5397,517673.0,182757.0
1080,Bromyard Gardens,Formal garden,Ealing,0.1496,521473.0,180113.0
1081,Bunny Park (Brent Lodge Park),Park,Ealing,5.5946,514633.0,180599.0
1082,Canalway Park,Amenity green space,Ealing,0.2607,513322.0,179167.0
1083,Carr Road Playground & Ken Acock Centre,Play space,Ealing,0.581,513967.0,184321.0
1084,Castlebar Park,Nature reserve,Ealing,0.7767,515915.0,181732.0
1085,Cayton Green Park,Recreation ground,Ealing,2.8269,515097.0,183384.0
1086,Cayton Road Playing Field,Recreation ground,Ealing,4.0225,515237.0,183362.0
1087,Cerebos Gardens,Formal garden,Ealing,0.1168,521339.0,182404.0
1088,Chatsworth Wood,Nature reserve,Ealing,3.4552,518631.0,181993.0
1089,Chevy Road,Park,Ealing,0.3558,514433.0,180013.0
1090,Church Gardens Park/Maytrees Rest Garden,Park,Ealing,0.356,517668.0,179458.0
1091,Church Path Wood and River Brent (Brent Lodge Park),River,Ealing,0.6349,515083.0,180380.0
1092,Churchfields Recreation Ground (Brent River Park),Park,Ealing,8.5473,514948.0,180604.0
1093,Hanwell Cemetery,Cemetery/churchyard,Ealing,9.01,515914.0,180039.0
1094,Clayden Gardens,Park,Ealing,0.218,521658.0,180747.0
1095,Cleveland Park,Park,Ealing,4.8399,516482.0,181787.0
1096,Conolly Dell,Park,Ealing,0.7373,515191.0,180393.0
1097,Copley Close Green,Park,Ealing,0.2635,515571.0,182173.0
1098,Coronation Gardens (Ealing),Formal garden,Ealing,0.0477,520024.0,180338.0
1099,Coronation Gardens Recreation Ground,Recreation ground,Brent,0.6216,518834.0,182743.0
1100,Court Mead Open Space,Recreation ground,Ealing,0.3989,512772.0,183040.0
1101,Cranleigh Park/Gardens,Park,Ealing,0.7684,512689.0,181414.0
1102,Cranleigh Wood Open Space,Public woodland,Ealing,0.5821,512530.0,181444.0
1103,Crown Street Open Space,Amenity green space,Ealing,0.0684,519854.0,180037.0
1104,Cuckoo Park,Park,Ealing,4.9324,515582.0,181444.0
1105,Cuckoo Park Rest Garden,Formal garden,Ealing,0.0699,515533.0,181600.0
1106,Dean Gardens,Park,Ealing,1.3039,516652.0,180365.0
1107,Denison Road East,Amenity green space,Ealing,0.1855,517438.0,182329.0
1108,Dormer's Wells Moated Manor,Nature reserve,Ealing,2.7346,513751.0,180816.0
1109,Dormers Wells Green,Recreation ground,Ealing,1.2803,513820.0,181092.0
1110,Down Way Playground,Park,Ealing,0.6108,510755.0,183023.0
1111,Drayton Green,Recreation ground,Ealing,2.7226,516202.0,180927.0
1112,Ealing Central Sports Ground,Playing fields,Ealing,10.5941,516145.0,183137.0
1113,Ealing Common,Common,Ealing,15.6124,518509.0,180415.0
1114,Ealing Green & St Mary's Road,Amenity green space,Ealing,1.2826,517656.0,180423.0
1115,East Action Village Green,Village green,Ealing,0.6061,521369.0,181325.0
1116,Ellis Road,Amenity green space,Ealing,0.6918,514438.0,180126.0
1117,Elthorne Park (Ealing),Park,Ealing,4.1113,515843.0,179369.0
1118,Elthorne Waterside,Nature reserve,Ealing,23.3031,515779.0,179049.0
1119,Eskdale Avenue Open Space,Amenity green space,Ealing,1.0916,512864.0,183832.0
1120,Fairview Playground,Play space,Ealing,0.8119,512296.0,184934.0
1121,Fielding Walk,Park,Ealing,0.3844,516718.0,179248.0
1122,Fitzherbert Walk & Hanwell Island,Walking/cycling route,Ealing,1.7242,515038.0,179914.0
1123,Fox Wood Local Nature Reserve,Nature reserve,Ealing,2.6374,518145.0,182145.0
1124,Friar's Gardens,Amenity green space,Ealing,0.1618,520747.0,180987.0
1125,Friar's Place Green,Village green,Ealing,0.1537,520645.0,181261.0
1126,Frogmore Green (Almshouse),Amenity green space,Ealing,0.1271,513028.0,178712.0
1127,Glade Lane and Canalside Park,Park,Ealing,7.7522,513859.0,179604.0
1128,Glebe Court Woodland,Public woodland,Ealing,0.3527,514794.0,180791.0
1129,Green Lane Open Space,Formal garden,Ealing,0.0536,515278.0,179940.0
1130,Green Lane Wharf,Park,Ealing,0.0299,515044.0,179610.0
1131,Greenford Birch Wood (Northolt & Greenford Countryside Park),Nature reserve,Ealing,2.8681,514069.0,183492.0
1132,Greenford Lagoons (Northolt and Greenford Country Park),Nature reserve,Ealing,4.3907,514170.0,183336.0
1133,Greenford Park Cemetery,Cemetery/churchyard,Ealing,12.4776,513995.0,181648.0
1134,Greenford Recreation Ground,Recreation ground,Ealing,2.1027,513846.0,182112.0
1135,Greenford Riverside & Island (Brent Lodge Park),Nature reserve,Ealing,4.3998,514565.0,181717.0
1136,Grove Farm (Ealing),Nature reserve,Ealing,8.4208,515112.0,185319.0
1137,Gurnell Grove Estate,Recreation ground,Ealing,1.1581,515879.0,182290.0
1138,Gurnell Grove Play Area,Recreation ground,Ealing,0.8053,515801.0,182141.0
1139,Gurnell Playing Fields,Recreation ground,Ealing,5.6712,515899.0,182564.0
1140,Hanger Hill Park,Park,Ealing,8.0357,518343.0,182168.0
1141,Hanwell Cricket & Brent River Paths (Brent Lodge Park),Playing fields,Ealing,3.8032,514578.0,180906.0
1142,Havelock Cemetery,Cemetery/churchyard,Ealing,2.2511,512575.0,179274.0
1143,Havelock Road Open Space,Park,Ealing,0.6928,513397.0,179245.0
1144,Haven Green,Park,Ealing,1.8235,517814.0,180981.0
1145,Heathfield Gardens,Formal garden,Ealing,0.6539,519505.0,179877.0
1146,Holy Cross Church,Cemetery/churchyard,Ealing,0.603,514516.0,183152.0
1147,Horn Lane Sports Ground,Playing fields,Ealing,2.3946,520108.0,181310.0
1148,Horsenden Allotments,Allotments,Ealing,1.0393,515913.0,185097.0
1149,Horsenden Farm & Visitor Centre,Nature reserve,Ealing,2.4502,516315.0,183989.0
1150,Horsenden Hill,Nature reserve,Ealing,29.2152,516155.0,184439.0
1151,Horsenden Hill  West,Nature reserve,Ealing,45.3757,515689.0,184295.0
1152,Horsenden Lower Thrifts Field (Perivale Community Centre),Park,Ealing,2.3864,516176.0,183842.0
1153,Hortus Cemetery,Cemetery/churchyard,Ealing,2.6523,512930.0,179513.0
1154,Inglis Road Open Space,Amenity green space,Ealing,0.0726,518630.0,180891.0
1155,Islip Manor Meadows,Nature reserve,Ealing,18.7639,511838.0,184461.0
1156,Islip Manor Park,Park,Ealing,6.7684,512726.0,184381.0
1157,Iveagh Avenue,Amenity green space,Ealing,0.2426,519219.0,183195.0
1158,Three Bridges Park,Nature reserve,Ealing,6.8512,514699.0,179662.0
1159,Jubilee Park (Ealing),Recreation ground,Ealing,4.7974,513387.0,181635.0
1160,Kensington and Chelsea Cemetery,Cemetery/churchyard,Ealing,6.2904,515870.0,180480.0
1161,King George's V. Playing Field (Poor's Piece),Recreation ground,Ealing,0.4968,515342.0,179897.0
1162,King George's Playing Field,Playing fields,Ealing,6.4935,512809.0,182107.0
1163,Lammas Park,Park,Ealing,9.7705,517270.0,179668.0
1164,Lammas tennis park (Lammas Enclosure),Other recreational,Ealing,1.6972,517457.0,179911.0
1165,Lane S of Castle Bar Park,Nature reserve,Ealing,0.2331,516012.0,181509.0
1166,Laughton Road Playground,Play space,Ealing,0.172,511996.0,183605.0
1167,Lilac Gardens Green/Village Park Recreation Ground,Amenity green space,Ealing,0.5853,517876.0,179361.0
1168,Lime Tree Park,Park,Ealing,9.3147,511726.0,183583.0
1169,Long Drive Open Space,Amenity green space,Ealing,0.1521,513887.0,183527.0
1170,Long Wood,Nature reserve,Ealing,2.3851,515448.0,178821.0
1171,Longfield Playing Fields,Playing fields,Ealing,4.6504,515694.0,182599.0
1172,Longfield Walk,Walking/cycling route,Ealing,0.2434,517412.0,181013.0
1173,Lord Holsbury Memorial Playing Fields,Playing fields,Ealing,6.4621,512120.0,184761.0
1174,Lower Boston Road Open Space,Amenity green space,Ealing,0.3118,515281.0,180021.0
1175,Ludlow Court Recreation Ground,Recreation ground,Ealing,1.6089,520071.0,179653.0
1176,Mandeville Green,Park,Ealing,0.4282,513154.0,184342.0
1177,Mandeville Parkway,Amenity green space,Ealing,4.7896,513545.0,184808.0
1178,Manor Court Green (Brent Lodge Park),Park,Ealing,0.411,515129.0,180510.0
1179,Manor House Grounds,Park,Ealing,1.1272,512541.0,179417.0
1180,Marley Road Rough/Bridge Farm Open Space,Nature reserve,Ealing,1.1587,513179.0,183064.0
1181,Marnham Field (Greenford Road),Recreation ground,Ealing,3.2999,514382.0,181498.0
1182,Marnham Fields (Northolt and Greenford Country Park),Nature reserve,Ealing,10.6176,513602.0,183380.0
1183,Mayfield (Brent Lodge Park),Nature reserve,Ealing,2.6197,514678.0,181405.0
1184,Medlar Park,Park,Ealing,2.8403,512354.0,183401.0
1185,Midland Terrace Gardens,Formal garden,Ealing,0.103,521282.0,182333.0
1186,Mill Hill Gardens,Park,Ealing,0.2759,519657.0,179761.0
1187,Montpelier Park,Park,Ealing,1.8606,517678.0,181826.0
1188,Mount Pleasant Leisure Gardens,Recreation ground,Ealing,3.3379,513592.0,181117.0
1189,Navigator Drive Park,Park,Ealing,0.4729,514407.0,179800.0
1190,North Acton Cemetery,Cemetery/churchyard,Ealing,5.5339,520629.0,182046.0
1191,North Acton Playing Fields,Playing fields,Ealing,9.0115,520055.0,181625.0
1192,North Road Open Space,Amenity green space,Ealing,0.1855,513026.0,180616.0
1193,Northala Fields (Northolt and Greenford Country Park),Park,Ealing,18.038,512798.0,183573.0
1194,Northolt Bee-keepers Land,Nature reserve,Ealing,0.1,514514.0,183220.0
1195,Northolt Manor & Belvue Park,Nature reserve,Ealing,6.8801,513241.0,183966.0
1196,Northolt Meadow,Amenity green space,Ealing,1.7013,513105.0,184960.0
1197,Northolt Park,Recreation ground,Ealing,5.1271,513223.0,185094.0
1198,Northolt Village Green (Northolt & Greenford Countryside Park),Amenity green space,Ealing,0.8004,513120.0,184129.0
1199,Northolt Village Rest Garden (Northolt & Greenford Countryside Park),Formal garden,Ealing,0.1181,513142.0,184109.0
1200,Norwood Green,Amenity green space,Ealing,3.0091,513280.0,178495.0
1201,Oldfield Lane Open Space & War Memorial,Formal garden,Ealing,0.1577,514181.0,182388.0
1202,Oldfield Recreation Ground,Recreation ground,Ealing,2.0501,514819.0,183697.0
1203,Ormsby Green,Amenity green space,Ealing,0.2657,514296.0,183127.0
1204,Paradise Fields (Horsenden Hill),Public woodland,Ealing,10.7428,515254.0,184137.0
1205,Perivale Meadows East,Amenity green space,Ealing,0.989,516021.0,182718.0
1206,Perivale Park and Meadows,Recreation ground,Ealing,18.6641,515073.0,182636.0
1207,Perivale Park Athletics track,Other recreational,Ealing,2.5924,515416.0,182828.0
1208,Pitshanger Park,Recreation ground,Ealing,18.4146,516708.0,182307.0
1209,Popefield Playing Fields,Vacant land,Ealing,2.094,518653.0,179694.0
1210,Prior's Field,Nature reserve,Ealing,5.3128,512194.0,184466.0
1211,Queens Road Open Space (Ealing),Amenity green space,Ealing,0.0464,511941.0,179508.0
1212,Ravenor Park,Park,Ealing,12.7095,513977.0,182575.0
1213,Rectory Park (Northolt & Greenford Countryside Park),Playing fields,Ealing,24.1538,512229.0,183050.0
1214,Redcroft Road Recreation Ground,Recreation ground,Ealing,0.3626,514214.0,181027.0
1215,Ridding Lane Open Space,Recreation ground,Ealing,1.2814,515726.0,185376.0
1216,Ridding Lane Open Space Stream,River,Ealing,0.0876,515623.0,185304.0
1217,River Brent (Ealing),River,Ealing,12.3227,516048.0,181957.0
1218,River Brent Conservation Site,Amenity green space,Ealing,1.5507,516189.0,182539.0
1219,Rosewood Avenue Open Space,Amenity green space,Ealing,0.4865,516065.0,185011.0
1220,Rothesay Recreation Ground,Recreation ground,Ealing,0.2077,514814.0,184879.0
1221,Ruislip Road East Conservation Area,Nature reserve,Ealing,2.8715,515122.0,182269.0
1222,Rushdene Crescent (East),Amenity green space,Ealing,0.0504,511120.0,182932.0
1223,Rushdene Crescent (West),Amenity green space,Ealing,0.0963,511052.0,182914.0
